ID,TITLE,LLM_CATEGORY
3701,Video Najwa Shihab Dukung Prabowo Presiden 2024,politics
3702,Gambar Ganjar sedang Melakukan Salat di Gereja,politics
3683,: “Mahfud MD Minta agar Jokowi Dihukum Seumur Hidup”,politics
3684,: “Prabowo Mundur Jadi Cawapres Akibat ulah Gibran”,politics
3685,KAPAL PERANG AS TERBAKAR AKIBAT SERANGAN DARI YAMAN,politics
3686,ORASI SUSI PUJIASTUTI DUKUNG ANIES BASWEDAN,politics
3687,PERDANA MENTERI MESIR MEROBEK DOKUMEN PERJANJIAN DAMAI DENGAN ISRAEL,politics
3688,PENEMUAN GUDANG KOTAK SUARA GANDA DI MAKASSAR UNTUK KECURANGAN PEMILU 2024,politics
3689,AKUN FACEBOOK KAPOLDA KALSEL “WINARTO SILVANA”,scam
3690,": Rekaman Perbincangan Antara Dandim, Bupati, Kapolres, & Kajari Batu Bata",politics
3691,Data Menunjukkan Vaksin Covid-19 Menyebabkan Peningkatan Penyandang Disabilitas,others
3692,SURAT PEMBERITAHUAN PAJAK PENYAMPAIAN SPT TAHUNAN OLEH DITJEN PAJAK,scam
3672,DOCUMENT HABIB YAMAN DI INDONESIA SEBAGAI ANTEK BELANDA SAAT ITU,others
3673,"“Lapor! Ada pengadaan alutsista lewat perusahaan misterius PT TMI. Serem, gelap! Laporan selesai!”",politics
3674,"“Dalam rangka merayakan Ulang tahun BNi yg ke 77,Bank BNI mengadakan Pengundian gebyar undian Poin BNI”",scam
3675,Video Laut Merah yang Dibelah Nabi Musa,others
3676,Presiden Joe Biden Menyatakan akan Mengirimkan Tentara US Berperang Melawan Rusia,politics
3677,Polisi Los Angeles Menyerang Pendemo Pro-Palestina,politics
3678,"“Situasi eksplosif di Perancis, dukungan rakyat Prancis yang tak terbendung terhadap rakyat Gaza”",politics
3679,"Airlangga Hartarto Pindah Haluan, Gibran Terbukti Curang",politics
3680,“Kemenkes menyatakan KLB Polio untuk mendorong vaksinasi Polio. Tapi semua kasus adalah Polio tipe2 yang justru DISEBABKAN OLEH VAKSIN!!!”,others
3681,SBY Restui Relawan Demokrat Dukung Ganjar,politics
3682,GEBYAR UNDIAN BNI KE-77 BAGI-BAGI HADIAH,scam
3661,“Orang waras pasti tahu pilih siapa!!”,politics
3662,Foto Turis Meninggal Dunia di Pantai Maldives Setelah Diperkosa Beramai-ramai,others
3663,Video Supir Taksi di Maldives Kasar Terhadap 2 Penumpang Wanitanya,others
3664,Kapal Perang AS USS Bonhomme Richard Diserang di Laut Merah,politics
3665,Gempa Bermagnitudo 6.7 Guncang Afghanistan,others
3666,70 Juta Pengungsi Rohingya Akan Menuju Indonesia,politics
3667,Give Away Motor Aerox dari Yamaha,scam
3668,Akun Facebook Mengatasnamakan BNI Unggah Postingan Berisi Gebyar Bank BNI 2024,scam
3669,Video Gelombang Air Tinggi Menghantam Kapal Ferry,others
3670,“Sangat aneh KPU sekarang ini karena sudah coblosan duluan?… Demokrasi ala JokoSontolol”,politics
3671,Gambar Anies Ngomong Gurih karena Makan Sasa Sehari Habis 5,politics
3648,Akun WhatsApp Kepala Dinas Perhubungan Kabupaten Gresik Khusaini,scam
3649,Oprah Winfrey masuk penjara GITMO (Kamp Tahanan Teluk Guantanamo),others
3650,Pertandingan Ulang Indonesia vs Irak di Piala Asia 2023,others
3651,PAN Nyatakan Mundur Dukung Prabowo,politics
3652,"Gempa Bermagnitudo 10,7 Guncang Indonesia",others
3653,Gempa Bumi Guncang Manggarai NTT pada 17 Januari 2024,others
3654,“Warga Bali Pasti Kecewa” Warga Bali Harap Bersiap Dilarang Jual Babi Guling dan Alkohol,others
3655,Menteri Pertahanan AS Diduga Tewas di Ukraina,politics
3656,": “Video, Salah Satu Paslon Kampanye dengan cara Hujan Uang di Tasikmalaya”",politics
3657,: “Nassar Meninggal Dunia”,others
3658,“Video 19 Pengungsi Rohingya Ditangkap Polres Bengkulu”,others
3659,Pemerintah Minta Kantor UNHCR Di Indonesia Ditutup,politics
3660,: Anies bongkar dana ilegal milik Prabowo,politics
3614,Warga Israel Dapat Jaminan Kesehatan Gratis dari Pemerintah AS,politics
3615,Para Imigran Cina Meninggalkan Rusia karena Diancam Putin untuk Ikut Perang Melawan Ukraina,politics
3616,Kapal Selam Israel Dikejar oleh AL Yemen,others
3617,Korea Utara Mengebom Kapal Tanker AS di Perairan Taiwan,others
3618,Bantuan untuk Gaza Dibuang di Mesir,others
3619,"Nasabah Galbay Bisa Tidur Nyenyak, Kini Ada Bantuan Melunasi Utang Pinjol dari OJK",scam
3620,Qori Internasial Muamar Za Meninggal Dunia,others
3621,Aksi Masa Membakar Baliho Bergambar Jokowi dan Memaksa Masuk ke Gedung MK,politics
3622,DARI JAMAN BELANDA SAMPAI SEKARANG TETAP SAMA PERLAKUAN MEREKA KPD RAKYAT MISKIN,politics
3623,Demo Mahasiswa dan Warga di Gedung Sate Tuntut Jokowi Turun,politics
3624,“2024 Tokyo all in Prabowo-Gibran”,politics
3625,Akun Facebook Pj Bupati Aceh “Doctor Murtala Msi”,scam
3626,Jakarta Pusat Diterjang Gelombang Tinggi Hingga 10 Meter,others
3627,Ustadz Koh Dennis Lim Berbagi Rejeki Di Situs Judi Online,scam
3628,Surat Undangan Rapat Koordinasi Penetapan Calon Penerima dan Penandatangan Perjanjian Program Bantuan Dana Hibah Awal TA 2024,scam
3629,Najwa Shihab dan Raffi Ahmad Promosikan Judi Online,scam
3630,Indonesia Keluar dari Laga Piala Asia 2023,others
3631,Poster Lowongan Pertamina 2024 di Tiktok,scam
3632,Akun Tiktok Palsu BNI Berisi Konten Pinjaman Online,scam
3633,Suzuki Gelar Giveaway Motor Awal Tahun 2024,scam
3634,Akun WhatsApp Kasat Reskrim Polres Fakfak Arif Usman Rumra,scam
3635,Akun Facebook Slamet Anggota Komisi IV DPR RI,scam
3636,Pelajar SMP divonis 7 Tahun Penjara Karena Mengkritik Jokowi,politics
3637,Prabowo Siapkan 4000 Amplop Cap Jempol untuk Serangan Fajar,politics
3638,Akun WhatsApp Sekda Majalengka Eman Suherman Membagikan Donasi,scam
3639,Bulan Februari 2024 yang akan datang ini tidak mungkin ada lagi selama hidup Anda,others
3640,Akun WhatsApp Pj Bupati Tegal Agustyarsah,scam
3641,MAHASISWA MAU TURUNKAN JOKOWI KARENA SUDAH IKUT CAMPUR DALAM POLITIK PRABOWO GIBRAN,politics
3642,Pemerintah Pakistan Memerintahkan Semua Bank Pakistan untuk Menolak Menerima dan Menyalurkan Donasi ke Palestina,politics
3643,Warga AS Mengusir Duta Besar Israel,politics
3644,Bukti Partai EFF (Economic Freedom Fighters) Memproduksi KTP Palsu untuk Mendukung Salah Satu Paslon di Pemilu Afrika Selatan 2024,politics
3645,Foto Trump dengan Sekelompok Pria Kulit Hitam yang Melambai kepada Trump,politics
3646,Akun Facebook Bupati Paser Fahmi Fadli Menyalurkan Bantuan,scam
3647,MURI Memberikan Penghargaan Kepada Prabowo Subianto Karena Kalah Tiga Kali Beruntun Sebagai Calon Presiden,politics
3606,Pemerintah Australia Menyarankan Memanfaatkan Pemberian Vaksin kepada Pasien di Bawah Pengaruh Obat Bius,others
3607,"Foto Taylor Swift Bersama Seorang Penjahat Seksual, Jeffrey Epstein",others
3608,Video “Oknum Polisi Mendukung Paslon 03”,politics
3609,Video Tsunami di Semenanjung Noto 1 Januari 2024,others
3610,Kemenkes Membahayakan Anak-anak Indonesia dengan Pemberian Vaksin Polio,others
3611,Dr. Zakir Naik Telah Diracun oleh Seorang Tak Dikenal di Malaysia,others
3612,: Rohingya bakar gudang di Aceh,others
3613,LOWONGAN KERJA DI PUSKESMAS KEBONSARI TUBAN,scam
3595,Presiden FIFA Ancam Bubarkan Piala Asia,others
3596,"Gempa Bermagnitudo 9,6 Guncang Papua",others
3597,"“Anies datang ke Samarinda, nama Prabowo yang menggema”",politics
3598,Video Jakarta Ludes Tersapu Gelombang Tinggi,others
3599,PPATK Dan Mahfud Temukan Dana Haram 500 Triliun Di Kantor Jokowi,politics
3600,Ribuan Kader Demokrat Serentak Mendukung Ganjar Capres 2024,politics
3601,"Kunjungi Makassar, Anies Baswedan Disambut Petinggi Partai Golkar",politics
3602,APK Konfirmasi E-Tilang (ETLE),scam
3603,Ribuan Kader Perindo dan Nasdem Deklarasikan Dukungan ke Anies Baswedan,politics
3604,: “Hotman Paris Promosikan Judi Online”,others
3605,Telor Plastik,others
3592,Viralkan Polisi Dukung 02,politics
3593,Jejak Skandal Mesum Ketua KPU Hasyim Asy’ari dgn Wanita Emas dibuka Kembali… Dari Mobil sampai ke Gunung Salak,politics
3594,GELOMBANG MIGRASI PERUBAHAN DARI SEMUA PARTAI MENDUKUNG ANIS & MENINGGALKAN GERBONG PARTAINYA,politics
3587,"GEMPA 9,7 SR GUNCANG NTT PADA 24 JANUARI 2024",others
3588,Anies dan Ortizan Pegang Rompi bergambar Ganjar,politics
3589,Video Pengungsi Rohingya Bakar Bangunan di Aceh,others
3590,JOKOWI STOP BANTUAN DAN SEGERA USIR PENGUNGSI ROHINGYA,politics
3591,SBY RESTUI RELAWAN PENDIRI DEMOKRAT DUKUNG GANJAR-MAHFUD,politics
3556,Gelombang Tinggi 15 Meter Terjang 5 Wilayah,others
3557,Beredar Unggahan Prabowo Berikan Setiap Pemilihnya Uang 20 Juta,politics
3558,Sulawesi Lenyap Tak Tertolong Akibat Banjir Bandang,others
3559,Infantino Bawa Wasit Collina untuk Periksa Ulang Laga Indonesia vs Irak di Piala Asia 2023,others
3560,"Gempa 9,6 Magnitudo Hancurkan Sumbawa",others
3561,Anies Mundur Jadi Capres Usai KPK Menetapkannya Tersangka Korupsi Formula E,politics
3562,Akun Tiktok Tiruan Atta Halilintar Bagikan Uang 60 Juta Rupiah Melalui Games Tangkap Gambar,scam
3563,27 Negara Dukung Indonesia untuk Bertanding Ulang dengan Irak pada Piala Asia 2023,others
3564,David Beckham Bela Indonesia Usai Dicurangi di Piala Asia 2023,others
3565,Gibran Gunakan Alat Bantu Bone Conduction Earphone Di Debat Pilpres Keempat,politics
3566,Video Peserta Audisi Amerika Lolos Bawakan Lagu “Ojo Dibandingke”,others
3567,"Alasan Anies Baswedan Dicopot jadi Mendikbud Karena Korupsi 2,3 Triliun",politics
3568,Anies Berkata “Oksigen dan Hidrogen Nanti Dalam 1 Tahun Jadi Mangkok”,politics
3569,Percakapan Telepon Anies Baswedan dengan Surya Paloh Bocor,politics
3570,Kota Batam Siang Ini Menjemput Kedatangan Calon Presiden Perubahan AMIN,politics
3571,"Pernyataan Jokowi “jika Palestina tidak mendapatkan pasokan obat-obatan dan makanan, maka dipastikan Indonesia menyatakan kami keluar permanen dari keanggotaan PBB”",politics
3572,Rekaman Anies Dimarahin Surya Paloh,politics
3573,Jusuf Hamka Memberikan Sumbangan Uang di Facebook,scam
3574,Akun TikTok Baim Wong Berbagi Uang,scam
3575,PT Honda Astra Berbagi Satu Unit Motor dengan Memenangkan Games Tangkap Gambar,scam
3576,Sri Mulyani Ajak Mencoblos Pasangan Calon Nomor Urut 03,politics
3577,Unggahan Pinjaman Online oleh Bank BNI di Tiktok,scam
3578,Pengukuhan Jokowi Ketua PKI Gantinya DN Aidit,politics
3579,Menara Eiffel Kebakaran 2024,others
3580,"SBY Perintahkan Kader PAN, Demokrat, PKS, dan Golkar Bersatu Mendukung Anies di Pilpres 2024",politics
3581,Jokowi Hadiri Acara Deklarasi Ganjar,politics
3582,"Gempa 10,7 Magnitudo Hancurkan Gedung DPR",others
3583,CILACAP TUMPAH RUAH AMIN,politics
3584,KEDATANGAN PENGUNGSI ROHINGYA MERUPAKAN SKENARIO AMERIKA DAN ISRAEL,politics
3585,PRABOWO CAPAI 80 PERSEN SUARA DIHASIL PEMILU 2024 TAIWAN,politics
3586,Wasit Ilgiz Tantashev Ucapkan Maaf ke Timnas Indonesia,others
3542,Keluarga Jokowi Diasingkan Akibat Mengubah Konstitusi,politics
3543,: “Kedatangan Pengungsi Rohingya untuk Menambah Suara di Pemilu”,politics
3544,: “Akhirnya AHY deklarasi Anies sebagai calon tunggal di pilpres tahun 2024”,politics
3545,Seluruh Warga Menolak Kampanye Politik Prabowo-Gibran,politics
3546,TANGIS PILU KLUARGA BESAR ISTANA.. GIBRAN DICOPOT DARI KK..SURVEI WOWO TERJUN BEBAS,politics
3547,SALAM 3 JARI OLEH PRABOWO “Tetap Ganjar Mahfud Untuk Indonesia 2024”,politics
3548,Akun Tiktok Prabowo Bansos Bagikan Uang dengan Persyaratan Umur 30-60 Tahun,scam
3549,SBY Resmi Dukung Anies-Amien Akibat Desakan Kader Demokrat,politics
3550,: “Gunung Tangkuban Perahu erupsi pada Awal Januari 2024”,others
3551,AKUN WHATSAPP KETUA DPRD KABUPATEN JEPARA HAIZUL MA’ARIF,scam
3552,AKUN WHATSAPP WALIKOTA TANJUNGPINANG BAGIKAN DONASI KE RUMAH IBADAH,scam
3553,Bawaslu Resmi Melarang Tim Prabowo Hadiri Debat Selanjutnya,politics
3554,Yordania Hajar Bahrain di Piala Asia 2023,others
3555,Kyai Yang Doakan Prabowo Gibran Meninggal Dunia,politics
3540,: Foto Prabowo dilukis tampak menyeramkan,politics
3541,Penembakan dari pesawat oleh tentara Israel,others
3533,Joe Biden Akan Mengirimkan Putra-Putri Anak Amerika Jika Kongres Tidak Mengizinkan Pemberian 61 Miliar Dolar untuk Ukraina,politics
3534,Akun WhatsApp Kasatpol PP Ketapang Anwar,scam
3535,Akun WhatsApp Kapolres Kubu Raya AKBP Wahyu Jati Wibowo,scam
3536,Akun WhatsApp Pj Wali Kota Cirebon Agus Mulyadi,scam
3537,Lowongan Kerja Puskesmas Tanjungsari Pacitan,scam
3538,19 Pengungsi Rohingnya Ditangkap Polres Bengkulu,others
3539,Surat Edaran Pelaksanaan Pelatihan Government Transformation Academy 2024,scam
3488,Jokowi Deklarasi Ganjar Presiden RI 2024,politics
3489,Jakarta Pusat Tumbang Dihantam Gelombang Tinggi Hingga ke Perkotaan,others
3490,Para Wanita di Finlandia Demo Supaya Pria Bisa Punya Istri Lebih dari Satu,others
3491,Gelombang Tinggi Hantam Bersih 1.085 Rumah di Papua,others
3492,Para Kader PSI Berpindah Haluan Mendukung Paslon 03,politics
3493,Penggembosan Suara Anies di Ponpes Dalwa Raci Bangil,politics
3494,AHY Nyatakan Dukungan dan Minta Rakyat Pilih Anies,politics
3495,Kang Emil Memimpin Ribuan Relawan Untuk Mendukung Anies,politics
3496,Nagita Slavina Menyatakan Dukungan Untuk Anies Baswedan Sebagai Calon Presiden 2024,politics
3497,Ribuan Kader Demokrat Khianati AHY Demi Dukung Anies Baswedan,politics
3498,ARTIS-ARTIS TOP INDONESIA SERENTAK DUKUNG GANJAR,politics
3499,MAHFUD MD PIMPIN MENTERI MUNDUR KARENA MUAK DENGAN JOKOWI,politics
3500,Pak Jokowi Jalan Kaki Dikarenakan Ban Bocor,politics
3501,Ribuan Warga di Solo Deklarasikan Ganjar Hingga Macet Total,politics
3502,Bantuan Beras Bulog Dipasangi Stiker Prabowo Gibran,politics
3503,KH. Suyuti Toha Meninggal Saat Doakan Prabowo Presiden 2024,politics
3504,Indonesia Vs Jepang Kalah 1-3 ! Jordi Amat Langsung Dipecat Dari Timnas Akibat Blunder !,others
3505,Iwan Fals dan Rhoma Irama Nyanyikan Lagu Sindiran Untuk Paslon 02,politics
3506,KONSER RHOMA IRAMA DAN IWAN FALS DUKUNG PASANGAN ANIES-MUHAIMIN,politics
3507,MAHFUD MD DAN WALIKOTA ACEH USIR PAKSA PENGUNGSI ROHINGYA,politics
3508,Pendukung Anies Baswedan di Papua Nugini Membludak,politics
3509,Videotron AMIN Tayang di Bukittinggi,politics
3510,DENY JA : HASIL SURVEY LSI PEMILIH ISLAM MAYORITAS PILIH PASANGAN AMIN,politics
3511,Ketua KPU Copot Gibran Karena Hanya Lulusan SMK,politics
3512,8 Guru Ditahan Gajinya Dipaksa Memilih 02,politics
3513,Ijazah Gibran Dinyatakan Palsu,politics
3514,Ketua MK Ngaku Dibayar 500 M Oleh Gibran,politics
3515,Bansos Presiden di Depan Istana Setelah Pernyataan Tidak Netral,politics
3516,Gibran Ngaku Dirinya Hanya Lulusan SMK Dan Minta Maaf Depan Media,politics
3517,MK Putuskan Gibran Gagal Nyapres Karena Hanya Lulusan SMK,politics
3518,Demokrat dan PDIP Bersatu Demi Menangkan Ganjar di 2023,politics
3519,Golkar Putar Haluan Dukung Ganjar Capres 2024,politics
3520,Ribuan Kader PSI Banting Setir Dukung Ganjar Sebagai Capres 2024,politics
3521,Surat Give Away Dari Kepolisian Republik Indonesia,scam
3522,Istana Lumpuh! Ribuan Mahasiswa dan Masyarakat Tolak Prabowo-Gibran,politics
3523,Muncul hewan Dabbah tanda akhir zaman,others
3524,Justin Bieber Meninggal,others
3525,Waspada bahaya makanan kaleng asal Thailand,others
3526,Megawati Turun Langsung Pimpin Pasukan Warga Maluku Untuk Deklarasi Ganjar Capres 2024,politics
3527,OJK Beri Bantuan Lunasi Hutang bagi Nasabah Pinjol,scam
3528,Foto Kebakaran dari Perang di Yaman pada 12 Januari 2024,others
3529,“Sinyal Dukung Ganjar! Tiga Menteri Andalan Jokowi Kompak Salam Metal Tiga Jari”,politics
3530,Beberapa Jenis Vaksin Memiliki Efek Samping Meningitis,others
3531,HAARP Digunakan untuk Mengendalikan Badai Salju yang Menggagalkan Kampanye Donald Trump di Kaukus Iowa,politics
3532,Banyak Polisi Mengepung Mall Miami karena Adanya Alien,others
3459,Video Pesawat American Airlines Tergelincir di Bandara O’Hare Chicago 18 Januari 2024,others
3460,Rencana Globalis WEF Meluncurkan Virus Baru Penyakit X untuk Diterapkan Pemerintah Dunia,others
3461,: “Prabowo beri 20 juta bagi pemilihnya di Pilpres 2024”,politics
3462,Foto Taylor Swift Menggunakan Baju Anti-Trump,politics
3463,Video Presiden Ukraina Menari dengan Baju Merah,politics
3464,Oposisi di Afrika Selatan Membuat KTP Identitas Palsu untuk Memenangkan Pemilu,politics
3465,Video Pengungsi Rohingya Membakar Gudang di Aceh Karena Tidak Dikasih Uang,others
3466,AFC dan FIFA Meminta Maaf ke Indonesia Buntut Gol Offside di Piala Asia 2023,others
3467,Korea Selatan Bela Indonesia Setelah Disahkannya Gol Irak di Piala Asia 2023,others
3468,Akun Tiruan BSI Berisi Pengajuan Pinjol,scam
3469,Semarang Digulung Ombak Setinggi 30 Meter,others
3470,Akun Tiruan BNI Berisi Pengajuan Pinjol,scam
3471,“Disambut 1 juta Warga Sulsel dan 2 Pesawat Tempur TNI AU #prabowopresiden2024”,politics
3472,Video Kapal Pengungsi Rohingya Tiba di Surabaya,others
3473,Video Bantuan Kemanusiaan untuk Palestina di Perbatasan Mesir Dibuang karena Kedaluwarsa,others
3474,11.000 Politisi dan Elit di Selandia Baru Dapat Pengecualian Wajib Vaksin Covid-19,politics
3475,928 Rumah Di Banten Hancur Karena Angin Puting Beliung,others
3476,Ribuan Budayawan Yogyakarta Serukan Dukungan Ganjar-Mahfud,politics
3477,Bill Gates Membuat Program Dokumen Identitas Digital di Seluruh Dunia bersama WEF dan PBB,others
3478,Pada Tahun 2022 Prabowo Dapat Rekor Muri Capres Gagal 3x Beruntun,politics
3479,Bill Gates Menyumbang 88% Pendanaan untuk Organisasi Kesehatan Dunia,others
3480,"Penikaman di Tempat Pemungutan Suara di Tainan, Taiwan 2024",politics
3481,“AFC jadwalkan Pertandingan ulang antara Indonesia vs Iraq”,others
3482,: “Elite PDIP deklarasi dukungan untuk Anies dan Muhaimin”,politics
3483,: Indonesia mengalahkan Jepang dengan skor 19-45,others
3484,SURAT TANDA IZIN PENDAFTARAN PENYELENGGARA INOVASI KEUANGAN DIGITAL OLEH OJK,scam
3485,Perekrutan 100 Guru PPPK Sarjana Penjas untuk SD Kota Kendari,others
3486,"AKUN WHATSAPP PJ BUPATI GARUT, BARNAS ADJIDIN",scam
3487,AKUN FACEBOOK PJ BUPATI BARITO UTARA “@DrsMuhlis”,scam
3410,Video Jokowi Memerintahkan Untuk Stop Bantuan ke Rohingnya dan Segera Usir Mereka,politics
3411,"Puluhan Menteri Kabinet Jokowi Mundur, Ikuti Langkah Sri Mulyani",politics
3412,Video di Morowali Sejumlah TKA Cina Menghakimi Seorang Warga,others
3413,Bandara Nusawiru Mengadakan Give Away Tebus Murah iPhone 14 Pro Max,scam
3414,Hasil Persidangan Terbukti Ijazah Jokowi Palsu,politics
3415,Akun WhatsApp Kepala Diskominfo Kota Banjar Dede Tito Ismanto,scam
3416,Partai Buruh Deklarasikan Anies Baswedan,politics
3417,António Guterres Komentari Tentang Pertahanan Negara Indonesia Lewat X,politics
3418,Akun WhatsApp Pj Bupati Bangkalan Arief M. Edie Meminta Komitmen Fee Kepada Investor,scam
3419,"Video Sidang Istri Anies Baswedan yang Tersandung Kasus Uang PAUD 6,4 Triliun",politics
3420,Menara Eiffel di Paris Terbakar,others
3421,Cuitan Taylor Swift di X Berterima kasih kepada Prabowo Subianto,politics
3422,Video Ribuan Relawan Ganjar dan Prabowo Balik Arah Dukung Anies Baswedan,politics
3423,Zulkifli Hasan Tegaskan Kader PAN Alihkan Dukungan ke Anies Baswedan,politics
3424,Luhut Binsar Deklarasikan Dukung Anies Baswedan,politics
3425,Video Duta Besar Turki Abaikan Salaman Jokowi,politics
3426,: “Jokowi dan Jan Ethes bagi bagi amplop Januari 2024”,politics
3427,: “Jokowi pimpin deklarasi Ganjar Pranowo”,politics
3428,: Gibran bicara tidak jelas,politics
3429,Oman Bantu Indonesia Usut Kecurangan Wasit di Piala Asia 2023,others
3430,Rekaman Percakapan Ganjar dan Megawati,politics
3431,Pengakuan Paus Fransiskus Terkait Agenda Rahasia ‘Agama Satu Dunia’ untuk Mengendalikan Umat Manusia di Dunia,others
3432,Video “Minyak Mentah Telah Ditemukan di Burkina Faso”,others
3433,Kesuksesan Food Estate Prabowo di Jawa Tengah,politics
3434,Pidato Surya Paloh Menyadari Kesalahan Mencalonkan Anies Sebagai Calon Presiden 2024,politics
3435,Pesan Jokowi “yang milih no.2 itu hati-hati”,politics
3436,"Prabowo dan Jokowi Kunjungan ke Solo, Warga Solo Teriak Anies Presiden",politics
3437,Video Mahfud MD Tidak Bisa Menjawab saat Ditanya Tentang Tugas Kompolnas,politics
3438,Video di TikTok Menara Eiffel Terbakar pada Januari 2024,others
3439,ENAM AHLI HUKUM BUKTIKAN JOKOWI SENGAJA GUNAKAN APBN UNTUK KAMPANYE,politics
3440,KAMPANYE PRABOWO-GIBRAN DI BOIKOT AKIBAT PIDATO JOKOWI TIDAK NETRAL,politics
